temperature,humidity,sensation,comfort,skin,clothing
-0.557413601,0.741275012,0,1,,
-0.585284281,0.685435086,0,1,0.110436223,-0.456621005
-0.891861761,0.592368544,-1,-1,-0.496963004,-1.179604262
-1.532887402,0.341088879,-1,-1,,
-1.505016722,1.029781294,-1,-1,-0.71783545,-1.255707763
-1.142697882,1.374127501,-1,-1,-0.71783545,-0.913242009
-1.059085842,1.39274081,0,0,,
-1.031215162,1.336900884,0,0,-0.165654335,-0.837138508
-0.919732441,1.839460214,0,1,,
-0.863991081,1.671940437,0,1,-1.104362231,-0.95129376
-0.836120401,1.625407166,0,1,,
-0.780379041,1.541647278,0,1,,
-0.780379041,1.532340624,0,1,-1.104362231,-0.342465753
-0.668896321,1.485807352,0,1,,
-0.16722408,1.225221033,0,0,,
0.16722408,1.011167985,0,0,0.055218112,0.114155251
0.334448161,0.899488134,1,-1,,
0.473801561,0.806421591,1,-1,,
0.752508361,0.610981852,1,-1,0.552181115,0.684931507
1.059085842,0.45276873,1,-1,,
1.198439242,0.341088879,1,-1,0.552181115,1.103500761
1.282051282,0.238715682,1,-1,,
1.421404682,0.136342485,1,-1,0.773053562,1.331811263
1.532887402,0.01535598,2,-2,,
1.644370123,-0.077710563,2,-2,0.993926008,1.750380518
1.727982163,-0.189390414,2,-2,,
1.811594203,-0.254536994,2,-2,0.938707896,1.674277017
1.839464883,-0.338296882,2,-2,,
1.616499443,-0.198697068,1,-1,0.773053562,1.522070015
1.365663322,-0.059097255,1,-1,,
1.059085842,0.043275942,0,0,0.71783545,0.875190259
0.836120401,0.19218241,0,0,0.828271673,0.837138508
0.724637681,0.266635644,0,0,,
0.668896321,0.229409027,0,1,1.270016565,0.913242009
-1.895206243,0.01535598,-2,-2,-2.15350635,-2.359208524
-1.978818283,-0.105630526,-2,-2,,
-2.090301003,-0.152163797,-3,-3,-2.429596908,-2.473363775
-2.173913043,-0.170777106,-3,-3,,
-2.341137124,-0.198697068,-3,-3,-2.705687465,-2.701674277
-2.090301003,0.108422522,-2,-2,,
-1.727982163,0.499302001,-2,-2,-1.877415792,-1.484018265
-1.532887402,0.815728246,-1,-1,,
-1.421404682,0.787808283,-1,-1,-1.711761458,-1.331811263
-1.644370123,1.113541182,-1,-1,,
-1.421404682,1.076314565,-1,-1,-1.656543346,-1.103500761
-1.282051282,1.057701256,-1,-1,,
-1.198439242,1.048394602,-1,-1,-1.4356709,-1.065449011
-1.170568562,1.029781294,-1,-1,,
-1.114827202,1.011167985,0,0,-1.711761458,-0.913242009
-1.086956522,1.076314565,0,0,,
-1.031215162,1.020474639,0,0,-1.270016565,-0.266362253
-1.031215162,1.029781294,0,0,,
-1.003344482,1.048394602,0,0,-1.601325235,-1.141552511
-1.003344482,0.992554677,0,0,,
-1.003344482,0.983248022,0,0,-1.049144119,-0.684931507
-1.003344482,0.983248022,0,1,,
-0.863991081,0.95532806,0,1,-1.049144119,-0.799086758
-0.641025641,0.852954863,0,1,,
-0.501672241,0.685435086,0,1,-0.662617338,-0.304414003
-0.390189521,0.610981852,0,1,,
-0.16722408,0.443462075,0,1,-0.496963004,-0.076103501
0.08361204,0.32247557,0,0,,
0.25083612,0.25732899,0,0,,
0.390189521,0.229409027,0,0,,
0.445930881,0.164262448,0,0,0.496963004,0.761035008
0.668896321,-0.012563983,1,-1,,
0.836120401,-0.087017217,1,-1,0.110436223,0.228310502
0.975473802,-0.096323872,1,-1,,
1.086956522,-0.133550489,1,-1,0.220872446,0.837138508
1.198439242,-0.226617031,1,-1,,
1.282051282,-0.273150302,1,-1,0.386526781,1.331811263
1.365663322,-0.263843648,1,-1,,
1.393534002,-0.301070265,1,-1,0.552181115,1.484018265
1.449275362,-0.282456957,1,-1,,
1.142697882,-0.24523034,1,-1,0.607399227,1.141552511
0.863991081,-0.068403909,1,-1,,
0.724637681,0.01535598,1,-1,0.552181115,0.837138508
0.668896321,0.061889251,0,0,,
0.445930881,0.164262448,0,0,0.331308669,0.532724505
0.25083612,0.32247557,0,1,,
0.11148272,0.480688692,0,1,,
0.02787068,0.545835272,0,1,,
-0.08361204,0.778501629,0,1,,
-0.891861761,2.258259656,0,1,,
